gene,logFC,AveExpr,PValue,FDR,timepoint,cell_type
GZMA,-0.7462326,0.9911360625,0.176332753417755,0.999966975535383,6_month,Lymphocyte
HAVCR2,0.0989858374999999,1.20630836875,0.63100411600429,0.999966975535383,6_month,Lymphocyte
CCR6,-0.49351587,1.544311815,0.49272063087601,0.999966975535383,6_month,Lymphocyte
ITGB1,0.0360995250000005,3.7262195625,0.930182127521209,0.999966975535383,6_month,Lymphocyte
PRF1,0.04780265,1.309208525,0.858321044825989,0.999966975535383,6_month,Lymphocyte
CXCR5,0.00483982499999991,1.9134337875,0.991894344343319,0.999966975535383,6_month,Lymphocyte
LAG3,-0.1789108875,1.25096874375,0.417067198839834,0.999966975535383,6_month,Lymphocyte
GZMB,0.0755878675,0.30681727625,0.63124710093578,0.999966975535383,6_month,Lymphocyte
CD40LG,0.267913525,4.0188556125,0.127745004390073,0.999966975535383,6_month,Lymphocyte
CXCR4,0.0932980250000002,7.1049777375,0.625719814254277,0.999736237640298,6_month,Memory CD4+ T Cell
CTLA4,0.138581475000001,4.1587983625,0.658270693786228,0.999736237640298,6_month,Memory CD4+ T Cell
PDCD1,-0.187407025,2.5941980375,0.703982930619015,0.999736237640298,6_month,Memory CD4+ T Cell
CCR4,0.31501115,4.069893275,0.250863784342571,0.999736237640298,6_month,Memory CD4+ T Cell
TIGIT,-0.00945992500000026,3.2642778875,0.950612672315006,0.999736237640298,6_month,Memory CD4+ T Cell
GZMK,-0.648169374999999,4.0420089375,0.392555084409144,0.999736237640298,6_month,Memory CD4+ T Cell
GZMA,-0.578952025,3.7609430875,0.424510410104045,0.999736237640298,6_month,Memory CD4+ T Cell
HAVCR2,0.210991875,1.5401811125,0.326363890602402,0.999736237640298,6_month,Memory CD4+ T Cell
CCR6,-0.294088625,4.6135110625,0.335073623264698,0.999736237640298,6_month,Memory CD4+ T Cell
ITGB1,-0.0447574250000002,5.6329249375,0.793909405283772,0.999736237640298,6_month,Memory CD4+ T Cell
PRF1,0.0902724749999999,2.2850296375,0.779294544284074,0.999736237640298,6_month,Memory CD4+ T Cell
CXCR5,-0.195620275,2.5917388625,0.196709638307422,0.999736237640298,6_month,Memory CD4+ T Cell
LAG3,-0.56205505,2.14172835,0.182059473314989,0.999736237640298,6_month,Memory CD4+ T Cell
GZMB,-0.04477343,0.311277725,0.84538117525945,0.999736237640298,6_month,Memory CD4+ T Cell
CD40LG,0.3156881,4.0271609,0.177673988587841,0.999736237640298,6_month,Memory CD4+ T Cell
CXCR4,0.0460113500000006,6.720524675,0.867961206270661,0.99913240469322,6_month,Naive CD4+ T Cell
CTLA4,-0.45815445,4.227338325,0.113542710297202,0.996815812948814,6_month,Naive CD4+ T Cell
PDCD1,0.372444865,2.1450662675,0.627823560757951,0.996815812948814,6_month,Naive CD4+ T Cell
CCR4,0.0905329500000001,3.342093475,0.809787368880461,0.998066551652945,6_month,Naive CD4+ T Cell
TIGIT,0.525674775,3.0257355125,0.216888328903793,0.996815812948814,6_month,Naive CD4+ T Cell
GZMK,-0.675684675,3.0298193375,0.519051750407876,0.996815812948814,6_month,Naive CD4+ T Cell
GZMA,0.831462675,3.2853965375,0.148514844155426,0.996815812948814,6_month,Naive CD4+ T Cell
HAVCR2,0.677696175,2.5861547875,0.0345400021520684,0.996815812948814,6_month,Naive CD4+ T Cell
CCR6,-0.82921295,3.63365155,0.175968868120046,0.996815812948814,6_month,Naive CD4+ T Cell
ITGB1,0.188929225,5.3852821375,0.603927928052358,0.996815812948814,6_month,Naive CD4+ T Cell
PRF1,0.9086108,3.880299875,0.0849786455374472,0.996815812948814,6_month,Naive CD4+ T Cell
CXCR5,-0.734447525,2.3504733125,0.393818387768765,0.996815812948814,6_month,Naive CD4+ T Cell
LAG3,-0.334336525,1.9809298125,0.570418914897286,0.996815812948814,6_month,Naive CD4+ T Cell
GZMB,1.130808525,3.9927437625,0.0908499054756514,0.996815812948814,6_month,Naive CD4+ T Cell
CD40LG,-0.3327651,3.3745911,0.352800433635531,0.996815812948814,6_month,Naive CD4+ T Cell
CXCR4,0.112271675000001,6.9202871375,0.436928214074248,0.99934099457384,6_month,Naive CD8+ T Cell
CTLA4,0.216030225,1.9053800625,0.618577236076854,0.99934099457384,6_month,Naive CD8+ T Cell
PDCD1,-0.30180395,0.314034575,0.456184673349561,0.99934099457384,6_month,Naive CD8+ T Cell
CCR4,-0.587090045,0.7154319975,0.440352297357561,0.99934099457384,6_month,Naive CD8+ T Cell
TIGIT,0.0157024250000002,1.5667193625,0.953113793160563,0.99934099457384,6_month,Naive CD8+ T Cell
GZMK,-1.27580957,1.30008341,0.214333069399017,0.99934099457384,6_month,Naive CD8+ T Cell
GZMA,-0.433478135,0.9266242275,0.474841335571232,0.99934099457384,6_month,Naive CD8+ T Cell
HAVCR2,0.1453642425,1.42880030375,0.409937322427163,0.99934099457384,6_month,Naive CD8+ T Cell
CCR6,-0.4129227775,0.40321666375,0.229382287472923,0.99934099457384,6_month,Naive CD8+ T Cell
ITGB1,-0.4336501,3.426995175,0.440300605990994,0.99934099457384,6_month,Naive CD8+ T Cell
PRF1,0.444791925,2.0240720375,0.354181703655902,0.99934099457384,6_month,Naive CD8+ T Cell
