gene,logFC,AveExpr,t,PValue,FDR,B,DE_status,timepoint,cell_type
CXCR5,-0.527622651497187,1.91402532466667,-2.12411405368678,0.0523254859837161,0.893916589986568,-4.1374441942654,NS,1_month,CD14 Monocyte
IFIT3,0.437795421404743,1.950996694,1.91725118482357,0.0762453322783989,0.893916589986568,-4.24036210496601,NS,1_month,CD14 Monocyte
HAVCR2,-0.289784620297429,4.60883999333333,-2.00107406413566,0.0655503087480203,0.893916589986568,-4.19894441560879,NS,1_month,CD14 Monocyte
ITGB1,-0.140747141820739,5.47722666666667,-1.22430457850131,0.241423980517559,0.893916589986568,-4.55242656783242,NS,1_month,CD14 Monocyte
GZMB,0.296906947849679,2.5466578,1.07256797359338,0.301950185246854,0.895432595641608,-4.6094223902817,NS,1_month,CD14 Monocyte
PDCD1,-0.159401861396704,0.94668332,-0.995773472809817,0.336581449055282,0.895432595641608,-4.63614091628126,NS,1_month,CD14 Monocyte
GZMA,-0.279143193709808,2.22542246,-0.831795582156475,0.419752073377838,0.901808210007012,-4.68787715568146,NS,1_month,CD14 Monocyte
CCR6,-0.238247873965033,1.220093752,-0.820550668081217,0.425915384212379,0.903061300075284,-4.69114349843966,NS,1_month,CD14 Monocyte
CTLA4,-0.150978758639469,1.17915171533333,-0.735012427245042,0.47469640402131,0.917126211956172,-4.7147401182021,NS,1_month,CD14 Monocyte
ISG15,-0.161727752692926,4.22634238666667,-0.733330601121769,0.475688738185461,0.91736581740948,-4.71518149227025,NS,1_month,CD14 Monocyte
CCR4,-0.104299764899518,0.816641222666667,-0.504476324631585,0.621923166679971,0.943400041301633,-4.76666411937993,NS,1_month,CD14 Monocyte
PRF1,-0.0914861361937298,2.18196264666667,-0.413128294189722,0.685890181175448,0.960475593636459,-4.78222897274326,NS,1_month,CD14 Monocyte
CXCR4,-0.0686021992966257,5.38590010666667,-0.399539778151173,0.69563956474752,0.962332244935838,-4.78429107975387,NS,1_month,CD14 Monocyte
TNF,-0.0966033090434086,2.35494732,-0.376548627815858,0.712262455723086,0.966567261050298,-4.78762873787257,NS,1_month,CD14 Monocyte
LAG3,-0.0864107489348877,0.668417083333333,-0.365822849144928,0.720070313753374,0.9678079847387,-4.78912045027782,NS,1_month,CD14 Monocyte
CD40LG,-0.0628408920357716,0.876373756,-0.267381975556639,0.793148341338053,0.979386288325746,-4.80084701309714,NS,1_month,CD14 Monocyte
ALAS2,-0.113408123814308,0.932342636,-0.223109307752791,0.826734588534558,0.984517924122796,-4.80495275378124,NS,1_month,CD14 Monocyte
GZMK,-0.0224096575361736,1.42230233,-0.0591434689746375,0.953689771212442,0.993991527600942,-4.81373853482378,NS,1_month,CD14 Monocyte
TIGIT,-0.00936777179260462,0.863969388666667,-0.0502701551812103,0.960630880106951,0.995330327997193,-4.81392336502119,NS,1_month,CD14 Monocyte
CCR6,0.578496463327974,0.530795768,2.4257809348666,0.0290640033683869,0.715602775055577,-3.60430586630278,NS,1_month,CD16 Monocyte
ISG15,-0.219892851507234,4.83996972666667,-1.55273794166202,0.142342491097353,0.751787754312646,-4.36031437682563,NS,1_month,CD16 Monocyte
CXCR4,0.367300696463023,5.28459106666667,1.46534876336599,0.16447559142125,0.764285794299452,-4.42710629424483,NS,1_month,CD16 Monocyte
LAG3,0.251979959919614,0.323343412666667,1.21345247528608,0.244628745823138,0.800222984313747,-4.60528046197809,NS,1_month,CD16 Monocyte
PDCD1,0.222851669455386,0.241833533333333,1.21572973070113,0.243786254178013,0.800222984313747,-4.60377525644608,NS,1_month,CD16 Monocyte
GZMB,0.641562477110129,1.22843312666667,1.15650383204531,0.266439332903506,0.805253077532705,-4.64224124088372,NS,1_month,CD16 Monocyte
TNF,0.279052873673632,3.81551235333333,1.11157084107141,0.284670713784838,0.809569878021017,-4.67045520279285,NS,1_month,CD16 Monocyte
IFIT3,0.27070710637058,3.00396779333333,0.968090176619123,0.34909584493625,0.833610787155572,-4.75461433859107,NS,1_month,CD16 Monocyte
HAVCR2,0.174430750100483,3.69024242666667,0.971082779046,0.347654193480162,0.833610787155572,-4.75295512972374,NS,1_month,CD16 Monocyte
GZMA,0.360017542262862,1.28848874,0.871006839878237,0.398143870087099,0.847148268072495,-4.8061088841367,NS,1_month,CD16 Monocyte
CCR4,-0.183541461384646,0.333401301333333,-0.784679785493889,0.445452456065836,0.866886646596023,-4.84796425439017,NS,1_month,CD16 Monocyte
PRF1,0.291489165721462,1.21645917133333,0.65006027703428,0.525964104877931,0.889471166770898,-4.90544106230959,NS,1_month,CD16 Monocyte
ALAS2,0.0570129966720257,0.0246585546666667,0.629940123492123,0.538674216653028,0.889471166770898,-4.91318613137278,NS,1_month,CD16 Monocyte
CTLA4,0.192678575673231,1.007840386,0.611039920438893,0.550767495627763,0.892106894535958,-4.92025661472693,NS,1_month,CD16 Monocyte
IFIT2,0.246215031812702,3.64294907333333,0.587214365759621,0.566220683072208,0.897311198760685,-4.92888449645243,NS,1_month,CD16 Monocyte
ITGB1,-0.0452720417805459,5.27794716666667,-0.490477534370649,0.631239762199545,0.91699837117894,-4.96059499745536,NS,1_month,CD16 Monocyte
CD40LG,0.0590938218770097,0.265256129333333,0.242126574252978,0.812121624348976,0.961911525991366,-5.01671685040411,NS,1_month,CD16 Monocyte
CXCR5,0.058749856659968,1.03895065133333,0.191511411058632,0.85081884272647,0.967859517037386,-5.02355523436673,NS,1_month,CD16 Monocyte
TIGIT,0.0182050860731511,0.329963654666667,0.0883173415818032,0.930849942802242,0.982678002794588,-5.03257474486304,NS,1_month,CD16 Monocyte
GZMK,0.0206699093649516,0.68794018,0.0522986002700997,0.959014664801913,0.990779429107581,-5.03415937437967,NS,1_month,CD16 Monocyte
IFIT2,0.947963459103699,3.94663512,1.49558287671823,0.158446065472476,0.967373261342044,-4.42022418605448,NS,1_month,CD8 T Cell
